number;incident_state;active;reassignment_count;reopen_count;sys_mod_count;made_sla;opened_at;impact;urgency;priority;knowledge;resolved_at;closed_at
INC0000045;Closed;false;0;0;4;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-02-29;2016-03-05
INC0000047;Closed;false;1;0;8;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-01;2016-03-06
INC0000057;Closed;false;0;0;6;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-01;2016-03-06
INC0000060;Closed;false;0;0;3;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-02;2016-03-07
INC0000062;Closed;false;1;0;7;false;2016-02-29;1 - High;2 - Medium;2 - High;true;2016-02-29;2016-03-05
INC0000063;Closed;false;1;0;7;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-02-29;2016-03-05
INC0000064;Closed;false;1;0;8;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-03;2016-03-08
INC0000065;Closed;false;6;0;13;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-02;2016-03-07
INC0000066;Closed;false;1;0;3;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-02;2016-03-07
INC0000067;Closed;false;1;0;10;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-02;2016-03-07
INC0000070;Closed;false;1;0;9;false;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-08;2016-03-24
INC0000071;Closed;false;0;0;7;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-01;2016-03-06
INC0000073;Closed;false;1;0;6;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-01;2016-03-06
INC0000074;Closed;false;0;0;19;false;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-04-11;2016-04-16
INC0000076;Closed;false;0;0;2;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-02-29;2016-03-05
INC0000077;Closed;false;0;0;5;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-02-29;2016-03-05
INC0000079;Closed;false;1;0;4;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-02-29;2016-03-05
INC0000080;Closed;false;0;0;7;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-02;2016-03-07
INC0000083;Closed;false;1;0;4;true;2016-02-29;3 - Low;3 - Low;4 - Low;true;2016-02-29;2016-03-05
INC0000084;Closed;false;0;0;19;false;2016-02-29;3 - Low;3 - Low;4 - Low;true;2016-04-12;2016-04-17
INC0000085;Closed;false;0;0;6;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-02;2016-03-07
INC0000086;Closed;false;1;0;8;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-01;2016-03-06
INC0000087;Closed;false;0;0;3;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-03-02;2016-03-07
INC0000088;Closed;false;0;0;2;true;2016-02-29;2 - Medium;2 - Medium;3 - Moderate;true;2016-02-29;2016-03-05
INC0000089;Closed;false;3;0;9;true;2016-02-29;2 - Medium;3 - Low;4 - Low;true;2016-03-03;2016-03-08
